PLAYER_NAME,PLAYER_ID,FG_PCT,FT_PCT,3PM,PTS,REB,AST,STL,BLK,TOV
Dalton Knecht,1642261,,,,,,,,,
Tyler Kolek,1642278,,,,,,,,,
Christian Koloko,1631132,0.48,0.627,1.0,182.0,171.0,31.0,21.0,57.0,20.0
John Konchar,1629723,0.427,0.8089999999999999,49.0,299.5,283.5,105.0,64.0,38.0,41.5
Luke Kornet,1628436,0.6825,0.864,2.0,297.5,229.0,60.0,17.0,53.5,23.0
Vít Krejčí,1630249,0.4475,0.6665,16.5,85.5,39.0,33.5,9.0,3.5,12.5
Jonathan Kuminga,1630228,0.527,0.6990000000000001,53.5,927.0,293.0,144.0,48.0,33.5,108.5
Kyle Kuzma,1628398,0.4555,0.7525,155.5,1455.0,463.5,267.5,36.5,39.0,191.0
Jake LaRavia,1631222,0.389,0.802,38.5,242.0,95.5,39.5,20.5,8.0,31.5
Zach LaVine,203897,0.4685,0.851,131.5,1200.0,237.0,212.5,45.0,13.0,123.0
Jock Landale,1629111,0.5215000000000001,0.776,15.5,365.0,226.0,66.5,18.0,31.5,45.0
Pelle Larsson,1641796,,,,,,,,,
Caris LeVert,1627747,0.426,0.744,117.5,924.5,281.0,316.5,74.0,29.0,116.5
Damion Lee,1627814,0.442,0.904,110.0,604.0,225.0,99.0,30.0,7.0,78.0
Alex Len,203458,0.575,0.6379999999999999,0.0,81.5,94.0,31.0,7.5,22.0,21.5
Kawhi Leonard,202695,0.5185,0.878,122.0,1426.0,377.0,224.0,91.5,43.5,103.5
Maxwell Lewis,1641721,0.19,0.667,1.0,11.0,4.0,6.0,2.0,1.0,10.0
E.J. Liddell,1630604,0.167,1.0,0.0,4.0,5.0,1.0,2.0,2.0,2.0
Damian Lillard,203081,0.4435,0.917,232.0,1820.5,298.5,466.5,61.0,18.0,192.0
Dereck Lively II,1641726,0.747,0.506,0.0,483.0,378.0,60.0,36.0,77.0,50.0
Chris Livingston,1641753,0.5,0.75,1.0,26.0,21.0,5.0,2.0,0.0,5.0
Kevon Looney,1626172,0.6134999999999999,0.6405000000000001,0.0,456.0,589.5,170.0,40.0,39.5,47.5
Brook Lopez,201572,0.508,0.8025,142.0,1114.5,464.5,113.0,40.0,191.0,93.0
Kevin Love,201567,0.40149999999999997,0.853,70.5,375.75,284.0,86.75,12.5,8.5,47.0
Kyle Lowry,200768,0.4265,0.845,75.75,397.25,153.25,196.75,43.75,15.75,68.25
Seth Lundy,1641754,0.235,0.75,3.0,14.0,7.0,0.0,0.0,0.0,1.0
Trey Lyles,1626168,0.4515,0.7575,85.5,490.5,278.5,69.0,22.0,25.0,51.0
Sandro Mamukelashvili,1630572,0.4185,0.6945,19.75,179.0,129.25,43.25,8.75,9.0,22.25
Terance Mann,1629611,0.517,0.806,74.0,685.5,265.0,151.5,42.5,18.5,64.0
Tre Mann,1630544,0.45125000000000004,0.8215,43.75,320.25,113.25,112.5,35.5,4.25,48.0
Lauri Markkanen,1628374,0.4895,0.887,187.5,1484.5,509.5,116.5,46.0,32.0,102.0
Naji Marshall,1630230,0.448,0.79,62.0,582.0,259.5,158.5,51.5,13.0,81.0
Caleb Martin,1628997,0.4475,0.7915000000000001,82.5,661.5,312.5,130.0,59.0,30.0,77.5
Cody Martin,1628998,0.385,0.5885,15.0,123.0,66.5,57.5,18.0,9.5,23.0
Jaylen Martin,1641798,,,,,,,,,
KJ Martin,1630231,0.51225,0.5637500000000001,21.0,371.75,178.5,56.25,21.25,13.5,38.75
Tyrese Martin,1631213,0.391,1.0,1.0,21.0,12.0,2.0,1.0,0.0,2.0
Garrison Mathews,1629726,0.39775,0.8755000000000001,52.75,209.75,59.5,22.25,17.0,4.5,14.25
Bennedict Mathurin,1631097,0.44,0.8245,90.0,1079.0,276.0,117.5,41.5,13.5,124.5
Karlo Matković,1631255,,,,,,,,,
Tyrese Maxey,1630178,0.4655,0.8565,186.0,1517.0,217.0,322.5,59.0,20.5,98.0
Miles McBride,1630540,0.405,0.7635000000000001,74.5,392.0,75.0,93.0,43.5,7.5,27.5
Jared McCain,1642272,,,,,,,,,
Mac McClung,1630644,0.45,0.6,4.0,25.0,10.0,9.0,0.0,0.0,3.0
CJ McCollum,203468,0.448,0.798,225.0,1445.0,307.0,367.0,66.0,39.5,146.5
T.J. McConnell,204456,0.5495000000000001,0.8215,22.0,688.5,212.5,393.5,76.5,9.0,125.5
Kevin McCullar Jr.,1641755,,,,,,,,,
Jaden McDaniels,1630183,0.503,0.729,96.5,855.0,265.5,124.5,68.5,59.0,99.5
Doug McDermott,203926,0.43450000000000005,0.606,77.75,339.0,64.0,57.75,11.25,2.5,28.5
Bryce McGowens,1631121,0.4175,0.763,30.0,274.0,97.5,52.5,18.0,8.0,36.5
Jordan McLaughlin,1629162,0.45199999999999996,0.7775,33.0,178.0,67.0,129.0,33.5,5.5,26.0
Jack McVeigh,1629098,,,,,,,,,
De'Anthony Melton,1629001,0.40549999999999997,0.8140000000000001,117.0,600.5,226.5,155.5,93.0,28.5,70.5
Sam Merrill,1630241,0.40549999999999997,0.9645,74.0,255.0,64.5,56.5,11.5,2.0,9.5
Vasilije Micić,203995,0.4246666666666667,0.7963333333333334,28.666666666666668,281.3333333333333,58.666666666666664,174.66666666666666,20.666666666666668,4.666666666666667,66.0
Khris Middleton,203114,0.4645,0.8674999999999999,72.5,662.5,198.5,227.5,37.0,10.0,99.0
Brandon Miller,1641706,0.44,0.827,184.0,1279.0,315.0,175.0,66.0,42.0,132.0
Jordan Miller,1641757,0.556,1.0,1.0,13.0,5.0,0.0,0.0,0.0,1.0
Leonard Miller,1631159,0.65,0.5,2.0,29.0,20.0,8.0,2.0,1.0,1.0
Patty Mills,201988,0.36825,0.70825,24.25,125.0,28.5,31.0,13.75,1.25,15.5
Shake Milton,1629003,0.43019999999999997,0.8308,18.4,213.8,68.2,72.0,12.6,5.0,31.2
Justin Minaya,1631303,0.3005,0.278,7.5,39.0,35.5,12.5,5.5,7.5,6.5
Riley Minix,1642434,,,,,,,,,
Josh Minott,1631169,0.486,0.9285,3.0,48.0,21.0,6.5,4.5,5.5,2.5
Yves Missi,1642274,,,,,,,,,
Ajay Mitchell,1642349,,,,,,,,,
Davion Mitchell,1630558,0.453,0.76,60.0,414.5,100.0,159.5,30.5,9.0,52.5
Donovan Mitchell,1628378,0.473,0.866,213.5,1692.5,284.5,317.0,100.0,28.5,167.0
Evan Mobley,1630596,0.567,0.6965,22.0,1031.0,589.5,192.0,52.5,95.5,118.0
Jonathan Mogbo,1642367,,,,,,,,,
Malik Monk,1628370,0.4455,0.859,145.5,1075.5,207.5,334.0,47.0,29.5,148.0
Moses Moody,1630541,0.469,0.7415,60.5,417.5,150.5,54.0,30.0,15.5,39.0
Tazé Moore,1631386,0.421,0.5,1.0,18.0,8.0,5.0,2.0,0.0,3.0
Wendell Moore Jr.,1631111,0.4595,0.4,1.0,30.0,15.0,12.0,6.5,3.0,6.0
Ja Morant,1629630,0.4685,0.7805,53.0,911.0,203.5,283.0,36.5,10.5,116.5
Markieff Morris,202693,0.39325000000000004,0.70825,17.75,82.5,45.25,19.5,5.75,3.25,12.0
Monté Morris,1628420,0.4165,0.68025,33.0,241.0,81.0,116.0,20.25,7.75,18.5
Trey Murphy III,1630530,0.4635,0.86,185.5,995.0,280.5,118.0,70.0,35.5,47.5
Dejounte Murray,1627749,0.4615,0.813,167.0,1634.0,402.5,475.0,111.5,21.5,180.5
Jamal Murray,1627750,0.4675,0.843,158.5,1274.0,249.5,392.0,61.5,27.5,135.0
Keegan Murray,1631099,0.4535,0.798,194.5,1074.0,395.5,113.5,70.0,50.5,62.0
Kris Murray,1631200,0.396,0.661,49.0,376.0,224.0,80.0,53.0,21.0,55.0
Svi Mykhailiuk,1629004,0.4505,0.6525000000000001,31.5,151.5,39.25,35.25,10.25,2.25,15.0
Larry Nance Jr.,1626204,0.5914999999999999,0.733,20.5,395.5,330.5,116.0,58.5,28.0,45.5
Andrew Nembhard,1629614,0.46950000000000003,0.797,76.5,667.5,170.0,310.5,66.5,9.5,113.5
Aaron Nesmith,1630174,0.4615,0.8095,127.5,807.5,276.0,103.0,60.0,41.5,69.5
Tristen Newton,1641803,,,,,,,,,
Georges Niang,1627777,0.4455,0.8585,151.5,702.5,231.5,87.5,30.0,16.0,63.0
Daishen Nix,1630227,0.35850000000000004,0.5835,23.0,126.5,50.5,69.0,18.0,3.5,45.5
Zeke Nnaji,1630192,0.512,0.661,11.5,231.5,132.0,25.0,16.0,30.5,29.0
Jusuf Nurkić,203994,0.5145,0.6505000000000001,32.5,761.5,654.0,225.0,62.0,62.0,147.0
Royce O'Neale,1626220,0.3955,0.69625,118.75,471.75,284.5,180.25,45.75,34.25,65.0
Josh Okogie,1629006,0.404,0.7344999999999999,47.5,403.0,202.5,84.5,52.0,29.0,49.5
Onyeka Okongwu,1630168,0.6245,0.787,13.5,676.0,476.0,77.5,41.0,83.5,63.0
Isaac Okoro,1630171,0.492,0.718,73.0,568.5,196.5,109.5,56.5,32.0,48.0
Quincy Olivari,1642439,,,,,,,,,
Kelly Olynyk,203482,0.541,0.8379999999999999,53.25,592.75,310.5,236.5,52.0,24.25,118.0
Kelly Oubre Jr.,1626162,0.436,0.755,104.5,1010.5,295.0,77.5,72.5,32.5,75.5
Chris Paul,101108,0.4405,0.829,88.0,676.0,238.0,458.5,80.5,14.0,95.0
Cameron Payne,1626166,0.42874999999999996,0.8465,69.0,412.25,85.0,156.0,29.25,7.5,53.25
Gary Payton II,1627780,0.58725,0.78325,11.5,110.5,62.75,27.0,20.75,7.0,14.75
Drew Peterson,1641809,0.667,0.0,3.0,11.0,1.0,1.0,2.0,0.0,1.0
Julian Phillips,1641763,0.416,0.684,12.0,89.0,36.0,13.0,7.0,7.0,10.0
Jalen Pickett,1629618,0.429,0.75,9.0,42.0,14.0,21.0,4.0,0.0,9.0
Scotty Pippen Jr.,1630590,0.41300000000000003,0.6505000000000001,15.5,142.5,35.5,50.0,19.0,5.5,29.0
Mason Plumlee,203486,0.66125,0.6799999999999999,0.0,489.5,408.5,136.25,26.5,27.75,67.5
Brandin Podziemski,1641764,0.454,0.633,90.0,682.0,427.0,273.0,61.0,14.0,88.0
Jordan Poole,1629673,0.4215,0.8734999999999999,199.0,1515.5,218.5,356.0,74.5,23.0,220.0
Craig Porter Jr.,1641854,0.509,0.732,12.0,285.0,109.0,118.0,21.0,15.0,45.0
Kevin Porter Jr.,1629645,0.442,0.784,141.0,1130.0,314.0,338.0,82.0,17.0,188.0
Michael Porter Jr.,1629008,0.4855,0.8180000000000001,204.0,1218.0,453.0,93.5,39.5,41.0,80.0
Bobby Portis,1626171,0.502,0.779,97.5,1058.5,639.5,104.5,48.5,25.0,86.0
Kristaps Porziņģis,204001,0.507,0.8545,123.5,1325.0,477.5,144.5,50.0,105.5,113.0
Quinten Post,1642366,,,,,,,,,
Micah Potter,1630695,0.571,0.375,6.5,38.5,29.5,5.0,2.5,3.0,3.5
Dwight Powell,203939,0.7055,0.6875,0.5,357.0,264.0,76.5,37.0,23.0,48.5
Norman Powell,1626181,0.4825,0.8215,140.5,1037.5,185.0,95.5,46.5,20.0,83.5
Jason Preston,1630554,0.3775,0.0,2.5,26.5,19.5,21.5,2.0,0.5,6.0
Taurean Prince,1627752,0.4545,0.7895,107.5,595.0,181.0,101.5,43.0,25.0,71.0
Payton Pritchard,1630202,0.44,0.7855,101.5,528.5,176.5,172.5,26.5,3.5,50.5
Olivier-Maxence Prosper,1641765,0.385,0.683,13.0,121.0,79.0,22.0,7.0,4.0,8.0
Jakob Pöltl,1627751,0.63825,0.57925,0.0,587.25,433.75,130.25,41.75,62.0,81.75
Trevelin Queen,1630243,0.3045,0.875,2.5,30.5,18.5,12.0,4.5,5.0,7.0
Neemias Queta,1629674,0.6555,0.357,0.0,83.0,66.5,10.5,6.5,11.5,7.0
Immanuel Quickley,1630193,0.4395,0.84625,127.5,880.25,213.75,235.25,45.0,8.5,75.5
Lester Quinones,1631311,0.3985,0.6785,17.0,87.0,37.5,19.0,3.5,1.0,11.0
Julius Randle,203944,0.4655,0.769,147.0,1519.0,595.0,272.5,37.0,16.5,187.5
Duop Reath,1641871,0.461,0.742,88.0,617.0,250.0,67.0,33.0,38.0,52.0
Austin Reaves,1630559,0.5075000000000001,0.8585,120.0,1066.5,272.5,332.5,49.5,22.0,136.5
Cam Reddish,1629629,0.43175,0.831,31.75,258.5,68.75,40.5,31.25,10.5,31.25
Paul Reed,1630194,0.5665,0.7315,11.0,443.5,375.0,68.0,56.5,67.5,56.0
Alex Reese,1642024,,,,,,,,,
Antonio Reeves,1641810,,,,,,,,,
Naz Reid,1629675,0.507,0.7065,122.0,935.5,378.0,91.5,52.5,63.0,101.5
Jared Rhoden,1631197,0.443,0.8125,8.5,64.0,35.0,9.0,3.5,7.0,5.0
Nick Richards,1630208,0.6599999999999999,0.743,0.5,592.0,477.5,46.0,18.5,72.5,66.0
Josh Richardson,1626196,0.4325,0.86025,70.0,433.25,117.75,113.25,40.5,13.5,52.0
Zaccharie Risacher,1642258,,,,,,,,,
Liam Robbins,1641857,,,,,,,,,
Duncan Robinson,1629130,0.4105,0.8975,125.0,571.5,121.0,119.0,30.0,8.0,61.5
Mitchell Robinson,1629011,0.623,0.4465,0.0,304.0,409.0,35.5,46.5,72.0,33.0
Orlando Robinson,1631115,0.514,0.735,4.0,107.5,105.0,29.5,9.5,10.0,17.0
Jeremiah Robinson-Earl,1630526,0.45899999999999996,0.7915,25.0,203.5,128.0,32.0,17.0,7.5,17.5
David Roddy,1631223,0.41725,0.75225,40.25,329.0,153.75,54.75,20.75,10.25,42.75
Ryan Rollins,1631157,0.47225000000000006,0.6325000000000001,2.25,27.75,9.5,8.5,5.25,1.75,8.0
Terry Rozier,1626179,0.435,0.859,115.75,934.75,188.25,250.75,50.0,14.5,86.5
Rayan Rupert,1641712,0.335,0.76,28.0,155.0,92.0,62.0,12.0,3.0,31.0
D'Angelo Russell,1626156,0.4685,0.8119999999999999,153.5,973.75,166.5,339.0,52.25,23.5,132.0
Domantas Sabonis,1627734,0.6045,0.723,32.0,1551.5,1046.5,623.0,69.5,43.5,251.0
Tidjane Salaün,1642275,,,,,,,,,
Adama Sanogo,1641766,0.519,0.667,0.0,36.0,36.0,0.0,1.0,0.0,5.0
Gui Santos,1630611,0.509,0.941,10.0,82.0,49.0,14.0,4.0,2.0,7.0
Alexandre Sarr,1642259,,,,,,,,,
Marcus Sasser,1631204,0.428,0.879,90.0,586.0,125.0,236.0,44.0,12.0,90.0
Baylor Scheierman,1631248,,,,,,,,,
Dennis Schröder,203471,0.429,0.8355,87.5,768.5,162.25,318.5,44.0,11.0,104.5
Alperen Sengun,1630578,0.545,0.704,26.0,1220.0,633.5,301.5,73.0,58.0,177.5
Brice Sensabaugh,1641729,0.39,0.902,34.0,241.0,102.0,55.0,13.0,6.0,47.0
Collin Sexton,1629012,0.4965,0.839,88.0,1071.5,155.0,260.5,44.5,12.0,125.0
Terrence Shannon Jr.,1630545,,,,,,,,,
Day'Ron Sharpe,1630549,0.5575,0.623,5.0,321.0,294.5,61.0,19.5,38.0,56.0
Shaedon Sharpe,1631101,0.439,0.7689999999999999,81.0,649.5,198.0,94.0,33.0,18.0,77.5
Jamal Shead,1642347,,,,,,,,,
Ben Sheppard,1641767,0.393,0.885,49.0,252.0,89.0,53.0,33.0,2.0,15.0
Reed Sheppard,1642263,,,,,,,,,
Pascal Siakam,1627783,0.52175,0.74075,65.75,1298.5,421.5,274.75,47.75,21.5,112.75
Ben Simmons,1627732,0.5734999999999999,0.4195,0.0,191.5,191.0,171.0,33.0,16.5,62.0
Anfernee Simons,1629014,0.4385,0.905,184.0,1172.5,164.0,254.0,32.5,9.5,127.0
KJ Simpson,1642354,,,,,,,,,
Jericho Sims,1630579,0.7335,0.7085,0.0,135.0,194.5,25.0,11.5,23.5,21.5
Marcus Smart,203935,0.4225,0.757,78.5,496.0,122.0,234.0,67.0,14.0,102.5
Dru Smith,1630696,0.40775000000000006,0.75,4.25,31.75,15.5,14.5,7.25,2.75,2.75
Jalen Smith,1630188,0.534,0.7255,57.5,621.5,365.5,64.5,19.0,49.0,58.0
Tyler Smith,1641890,,,,,,,,,
Jabari Smith Jr.,1631095,0.431,0.7985,129.0,1027.0,592.5,111.0,47.5,67.5,96.5
Nick Smith Jr.,1641733,0.391,0.867,63.0,302.0,72.0,59.0,10.0,7.0,39.0
Jeremy Sochan,1631110,0.4455,0.7344999999999999,51.5,737.5,385.5,195.5,52.5,31.5,118.5
Cam Spencer,1642285,,,,,,,,,
